region	chr	midPos	Nsites
(1222,4758)(744000,749999)(700000,750000)	JASDQU010100048.1	725000	3538	0.536977
(302,653)(417623,420534)(400000,450000)	JASDQU010100054.1	425000	353	-0.014449
(1,2658)(186442,192097)(150000,200000)	JASDQU010100055.1	175000	2659	0.428889
(808,866)(290724,290858)(250000,300000)	JASDQU010100056.1	275000	60	0.071947
(556,1086)(284247,284809)(250000,300000)	JASDQU010100057.1	275000	532	0.635724
(1087,2486)(360713,362130)(350000,400000)	JASDQU010100057.1	375000	1401	0.256699
(2128,2698)(271812,272387)(250000,300000)	JASDQU010100058.1	275000	572	0.211203
(132,369)(263382,263853)(250000,300000)	JASDQU010100060.1	275000	239	0.027501
(875,940)(191329,191419)(150000,200000)	JASDQU010100063.1	175000	67	0.014759
(941,1537)(285247,285851)(250000,300000)	JASDQU010100063.1	275000	598	0.015520
(1538,2975)(354839,387225)(350000,400000)	JASDQU010100063.1	375000	1439	0.114558
(2976,4087)(507842,508955)(500000,550000)	JASDQU010100063.1	525000	1113	0.336159
(4088,4337)(617478,617971)(600000,650000)	JASDQU010100063.1	625000	251	0.470881
(203,1202)(310226,311242)(300000,350000)	JASDQU010100071.1	325000	1001	0.039815
(734,1256)(108220,146605)(100000,150000)	JASDQU010100073.1	125000	524	0.213408
(1257,2870)(570036,571671)(550000,600000)	JASDQU010100073.1	575000	1615	0.277300
(740,2487)(302214,338293)(300000,350000)	JASDQU010100082.1	325000	1749	0.585311
(1627,2397)(318936,319750)(300000,350000)	JASDQU010100083.1	325000	772	0.015155
(3307,3540)(218770,224324)(200000,250000)	JASDQU010100087.1	225000	235	0.017658
(3541,3703)(289163,289336)(250000,300000)	JASDQU010100087.1	275000	164	0.087213
(3704,5415)(301194,347372)(300000,350000)	JASDQU010100087.1	325000	1713	0.315226
(65,937)(121147,122040)(100000,150000)	JASDQU010100089.1	125000	874	0.586134
(160,419)(197909,198385)(150000,200000)	JASDQU010100090.1	175000	261	0.007974
(420,605)(288269,288659)(250000,300000)	JASDQU010100090.1	275000	187	0.029981
(606,1273)(398532,399212)(350000,400000)	JASDQU010100090.1	375000	669	0.099878
(1274,2621)(416788,444257)(400000,450000)	JASDQU010100090.1	425000	1349	0.060304
(602,850)(387223,387568)(350000,400000)	JASDQU010100091.1	375000	250	0.040300
(851,928)(567068,567351)(550000,600000)	JASDQU010100091.1	575000	79	0.020122
(929,1278)(629436,649999)(600000,650000)	JASDQU010100091.1	625000	351	0.055947
(917,1385)(102906,135889)(100000,150000)	JASDQU010100096.1	125000	470	0.180152
(1386,1474)(256106,256206)(250000,300000)	JASDQU010100096.1	275000	90	0.765724
(1475,2055)(399416,399999)(350000,400000)	JASDQU010100096.1	375000	582	0.690139
(2056,5957)(400000,404367)(400000,450000)	JASDQU010100096.1	425000	3903	0.250906
(20,56)(118371,118422)(100000,150000)	JASDQU010100098.1	125000	38	0.022299
(57,88)(177580,177615)(150000,200000)	JASDQU010100098.1	175000	33	0.209413
(89,478)(258914,259308)(250000,300000)	JASDQU010100098.1	275000	391	0.016035
(2362,4158)(159815,176779)(150000,200000)	JASDQU010100102.1	175000	1798	0.421907
(1022,2836)(376070,399999)(350000,400000)	JASDQU010100108.1	375000	1816	0.186636
(2837,3327)(400000,400491)(400000,450000)	JASDQU010100108.1	425000	492	0.281834
(46,760)(326800,327530)(300000,350000)	JASDQU010100109.1	325000	716	0.085336
(761,1180)(598036,598456)(550000,600000)	JASDQU010100109.1	575000	421	0.022769
(1181,1725)(675863,676497)(650000,700000)	JASDQU010100109.1	675000	546	0.290186
(1726,1859)(723571,723718)(700000,750000)	JASDQU010100109.1	725000	135	-0.011276
(27,489)(772616,773084)(750000,800000)	JASDQU010100113.1	775000	464	0.043324
(490,1264)(825160,836816)(800000,850000)	JASDQU010100113.1	825000	776	0.058955
(1671,3796)(381009,394157)(350000,400000)	JASDQU010100118.1	375000	2127	0.264234
(3797,4500)(414470,415177)(400000,450000)	JASDQU010100118.1	425000	705	0.581368
(4501,5123)(464489,465714)(450000,500000)	JASDQU010100118.1	475000	624	0.537307
(5124,5583)(515559,543025)(500000,550000)	JASDQU010100118.1	525000	461	0.023608
(5584,5697)(565006,565450)(550000,600000)	JASDQU010100118.1	575000	115	0.057414
(252,321)(310084,310419)(300000,350000)	JASDQU010100120.1	325000	71	0.007411
(322,3825)(355045,358977)(350000,400000)	JASDQU010100120.1	375000	3505	0.045460
(3826,5312)(747987,749987)(700000,750000)	JASDQU010100120.1	725000	1488	0.114377
(5313,6915)(750067,752432)(750000,800000)	JASDQU010100120.1	775000	1604	0.141679
(329,1599)(337613,340691)(300000,350000)	JASDQU010100121.1	325000	1272	0.480259
(128,164)(110723,110788)(100000,150000)	JASDQU010100128.1	125000	38	-0.003183
(165,243)(368879,388805)(350000,400000)	JASDQU010100128.1	375000	80	0.379430
(244,590)(556433,556936)(550000,600000)	JASDQU010100128.1	575000	348	-0.000984
(464,1974)(123509,125229)(100000,150000)	JASDQU010100129.1	125000	1512	0.186422
(1975,4502)(192114,194704)(150000,200000)	JASDQU010100129.1	175000	2529	0.169762
(4503,4513)(245056,245071)(200000,250000)	JASDQU010100129.1	225000	12	0.142946
(4312,5697)(434502,436801)(400000,450000)	JASDQU010100136.1	425000	1387	0.722031
(5698,5783)(521599,521703)(500000,550000)	JASDQU010100136.1	525000	87	0.063115
(5784,6675)(559160,560051)(550000,600000)	JASDQU010100136.1	575000	893	0.645226
(6676,7368)(611476,612190)(600000,650000)	JASDQU010100136.1	625000	694	0.012900
(7369,8850)(719794,749999)(700000,750000)	JASDQU010100136.1	725000	1483	0.070317
(404,646)(150114,150361)(150000,200000)	JASDQU010100139.1	175000	244	0.246618
(219,956)(500015,513985)(500000,550000)	JASDQU010100141.1	525000	739	0.022244
(957,5165)(1067329,1078651)(1050000,1100000)	JASDQU010100141.1	1075000	4210	0.319456
(1412,1566)(181882,182353)(150000,200000)	JASDQU010100142.1	175000	156	0.087371
(1567,1832)(227218,227502)(200000,250000)	JASDQU010100142.1	225000	267	0.186367
(1833,2084)(347470,347721)(300000,350000)	JASDQU010100142.1	325000	253	-0.003300
(2085,2958)(463835,474243)(450000,500000)	JASDQU010100142.1	475000	875	0.049541
(3219,3241)(58510,58532)(50000,100000)	JASDQU010100143.1	75000	24	0.062227
(89,941)(248422,249274)(200000,250000)	JASDQU010100145.1	225000	854	0.650237
(942,1675)(251122,251856)(250000,300000)	JASDQU010100145.1	275000	735	0.547091
(2245,2882)(271275,271939)(250000,300000)	JASDQU010100148.1	275000	639	0.294275
(2883,3466)(318785,319422)(300000,350000)	JASDQU010100148.1	325000	585	0.181585
(122,363)(707011,707259)(700000,750000)	JASDQU010100149.1	725000	243	-0.019024
(364,1008)(895554,896202)(850000,900000)	JASDQU010100149.1	875000	646	0.057588
(1009,1339)(997058,997399)(950000,1000000)	JASDQU010100149.1	975000	332	0.100265
(2035,2055)(349838,349922)(300000,350000)	JASDQU010100150.1	325000	22	0.048897
(142,1294)(383985,387263)(350000,400000)	JASDQU010100151.1	375000	1154	0.295675
(1295,1743)(449034,449503)(400000,450000)	JASDQU010100151.1	425000	450	0.020639
(1744,1850)(535933,536045)(500000,550000)	JASDQU010100151.1	525000	108	0.143538
(183,232)(169106,169162)(150000,200000)	JASDQU010100153.1	175000	51	0.056483
(1,4051)(200924,234789)(200000,250000)	JASDQU010100154.1	225000	4052	0.139393
(431,1149)(188150,188877)(150000,200000)	JASDQU010100155.1	175000	720	0.303612
(988,1179)(75682,75894)(50000,100000)	JASDQU010100159.1	75000	193	0.389088
(636,1818)(237753,249364)(200000,250000)	JASDQU010100161.1	225000	1184	0.295128
(192,1312)(155542,156678)(150000,200000)	JASDQU010100164.1	175000	1122	0.198166
(148,563)(302900,303439)(300000,350000)	JASDQU010100166.1	325000	417	0.243147
(1307,1464)(580298,580463)(550000,600000)	JASDQU010100170.1	575000	159	0.039819
(1465,2704)(834512,835789)(800000,850000)	JASDQU010100170.1	825000	1241	0.392267
(2705,2800)(899900,899999)(850000,900000)	JASDQU010100170.1	875000	97	0.153635
(2801,3705)(900000,900912)(900000,950000)	JASDQU010100170.1	925000	906	0.240174
(928,1531)(669557,689336)(650000,700000)	JASDQU010100172.1	675000	605	0.071700
(1129,2036)(356388,357300)(350000,400000)	JASDQU010100175.1	375000	909	0.299253
(2037,2316)(422667,423066)(400000,450000)	JASDQU010100175.1	425000	281	0.184794
(2317,3196)(457929,458811)(450000,500000)	JASDQU010100175.1	475000	881	0.239193
(3197,3396)(533444,533675)(500000,550000)	JASDQU010100175.1	525000	201	0.001374
(1298,1450)(112409,112587)(100000,150000)	JASDQU010100176.1	125000	154	0.537664
(707,915)(76265,76564)(50000,100000)	JASDQU010100179.1	75000	210	0.346361
(916,5877)(190217,199999)(150000,200000)	JASDQU010100179.1	175000	4963	0.085650
(175,235)(102742,102854)(100000,150000)	JASDQU010100194.1	125000	62	0.059050
(1861,1979)(211986,212258)(200000,250000)	JASDQU010100198.1	225000	120	0.011370
(1980,3461)(307671,309346)(300000,350000)	JASDQU010100198.1	325000	1483	0.621935
(3462,5162)(365466,367994)(350000,400000)	JASDQU010100198.1	375000	1702	0.625334
(415,554)(510639,517320)(500000,550000)	JASDQU010100214.1	525000	141	0.088368
(555,850)(650021,650738)(650000,700000)	JASDQU010100214.1	675000	297	0.125439
(3,792)(70182,70973)(50000,100000)	JASDQU010100215.1	75000	791	0.254650
(793,1052)(124717,125111)(100000,150000)	JASDQU010100215.1	125000	261	0.032488
(1053,3996)(245259,249999)(200000,250000)	JASDQU010100215.1	225000	2945	0.220416
(3997,5149)(250000,272712)(250000,300000)	JASDQU010100215.1	275000	1154	0.036103
(5150,5933)(508715,509504)(500000,550000)	JASDQU010100215.1	525000	785	0.330008
(5934,6673)(836937,838035)(800000,850000)	JASDQU010100215.1	825000	741	0.485735
(6674,6951)(1151360,1151702)(1150000,1200000)	JASDQU010100215.1	1175000	279	0.143531
(686,979)(233438,233733)(200000,250000)	JASDQU010100218.1	225000	295	0.039468
(980,2085)(329561,330676)(300000,350000)	JASDQU010100218.1	325000	1107	0.080139
(105,716)(363823,364515)(350000,400000)	JASDQU010100239.1	375000	613	0.005980
(5924,6269)(419040,419571)(400000,450000)	JASDQU010100241.1	425000	347	0.008876
(6270,6735)(524844,531767)(500000,550000)	JASDQU010100241.1	525000	467	0.065091
(1018,1150)(502612,502745)(500000,550000)	JASDQU010100242.1	525000	134	0.067729
(71,101)(67487,67528)(50000,100000)	JASDQU010100243.1	75000	32	0.043008
(28,56)(122733,122786)(100000,150000)	JASDQU010100245.1	125000	30	0.011983
(1369,1772)(276343,276870)(250000,300000)	JASDQU010100249.1	275000	405	0.034153
(1037,2539)(164676,174390)(150000,200000)	JASDQU010100251.1	175000	1504	0.109581
(149,322)(339825,340143)(300000,350000)	JASDQU010100253.1	325000	175	0.084925
(1058,1102)(408331,408439)(400000,450000)	JASDQU010100254.1	425000	46	0.051365
(1103,1146)(495883,495976)(450000,500000)	JASDQU010100254.1	475000	45	0.170336
(1147,1180)(749329,749373)(700000,750000)	JASDQU010100254.1	725000	35	0.054220
(82,82)(397454,397454)(350000,400000)	JASDQU010100255.1	375000	2	0.047415
(131,307)(486187,486424)(450000,500000)	JASDQU010100256.1	475000	178	0.637577
(62,744)(198832,199999)(150000,200000)	JASDQU010100259.1	175000	684	0.135339
(70,1177)(97161,98887)(50000,100000)	JASDQU010100260.1	75000	1109	0.053421
(1178,1625)(104136,104851)(100000,150000)	JASDQU010100260.1	125000	449	0.037682
(1626,2075)(269108,269571)(250000,300000)	JASDQU010100260.1	275000	451	0.220787
(2076,2215)(468758,468897)(450000,500000)	JASDQU010100260.1	475000	141	0.011241
(168,829)(277383,278147)(250000,300000)	JASDQU010100261.1	275000	663	0.012122
(830,965)(309889,310152)(300000,350000)	JASDQU010100261.1	325000	137	0.044511
(966,2373)(359569,384714)(350000,400000)	JASDQU010100261.1	375000	1409	0.061676
(2374,3655)(506469,537379)(500000,550000)	JASDQU010100261.1	525000	1283	0.066588
(507,610)(284809,284917)(250000,300000)	JASDQU010100263.1	275000	105	0.014248
(28,944)(361529,373656)(350000,400000)	JASDQU010100264.1	375000	918	0.196542
(615,1675)(321107,349999)(300000,350000)	JASDQU010100265.1	325000	1062	0.139776
(1676,2561)(350000,358839)(350000,400000)	JASDQU010100265.1	375000	887	0.097510
(2562,4005)(427800,439833)(400000,450000)	JASDQU010100265.1	425000	1445	0.138398
(584,957)(465818,475542)(450000,500000)	JASDQU010100266.1	475000	375	-0.006295
(1151,2064)(203666,247021)(200000,250000)	JASDQU010100268.1	225000	915	0.349659
(134,1193)(248403,249491)(200000,250000)	JASDQU010100270.1	225000	1061	0.234826
(1194,1246)(374798,374852)(350000,400000)	JASDQU010100270.1	375000	54	0.024451
(78,648)(157055,157685)(150000,200000)	JASDQU010100271.1	175000	572	0.285949
(1512,2206)(87672,88369)(50000,100000)	JASDQU010100272.1	75000	696	0.564631
(2207,2782)(165463,166040)(150000,200000)	JASDQU010100272.1	175000	577	0.081208
(770,1121)(270388,270754)(250000,300000)	JASDQU010100279.1	275000	353	0.079159
(162,957)(186060,186858)(150000,200000)	JASDQU010100280.1	175000	797	0.426032
(563,1487)(69527,70479)(50000,100000)	JASDQU010100282.1	75000	926	0.194397
(851,865)(418893,418910)(400000,450000)	JASDQU010100283.1	425000	16	-0.008452
(866,1738)(454721,455657)(450000,500000)	JASDQU010100283.1	475000	874	0.496651
(765,769)(442442,442446)(400000,450000)	JASDQU010100294.1	425000	6	0.116399
(2715,3692)(135502,136495)(100000,150000)	JASDQU010100298.1	125000	979	0.528651
(3693,7059)(159517,163639)(150000,200000)	JASDQU010100298.1	175000	3368	0.577861
(947,2051)(255564,265147)(250000,300000)	JASDQU010100302.1	275000	1106	0.025921
(2052,2488)(518093,518590)(500000,550000)	JASDQU010100302.1	525000	438	0.565398
(2489,6155)(593932,599999)(550000,600000)	JASDQU010100302.1	575000	3668	0.741162
(115,1770)(161121,163603)(150000,200000)	JASDQU010100304.1	175000	1657	0.358350
(1771,2083)(203628,204058)(200000,250000)	JASDQU010100304.1	225000	314	0.221279
(2084,2325)(349081,349335)(300000,350000)	JASDQU010100304.1	325000	243	0.599505
(1160,4459)(208707,212087)(200000,250000)	JASDQU010100312.1	225000	3301	0.211023
(4460,5377)(474971,490159)(450000,500000)	JASDQU010100312.1	475000	919	0.085596
(784,918)(207069,207205)(200000,250000)	JASDQU010100314.1	225000	136	0.168313
(240,1327)(496023,499059)(450000,500000)	JASDQU010100317.1	475000	1089	0.123939
(1328,1989)(513758,528336)(500000,550000)	JASDQU010100317.1	525000	663	0.838081
(47,174)(172124,183065)(150000,200000)	JASDQU010100318.1	175000	129	0.015172
(70,968)(260510,261430)(250000,300000)	JASDQU010100323.1	275000	900	0.364305
(594,905)(173865,179786)(150000,200000)	JASDQU010100325.1	175000	313	0.032727
(906,1414)(215938,216482)(200000,250000)	JASDQU010100325.1	225000	510	0.703742
(158,230)(63213,63310)(50000,100000)	JASDQU010100331.1	75000	74	0.023036
(231,267)(206813,206852)(200000,250000)	JASDQU010100331.1	225000	38	0.057326
(268,1318)(303516,304596)(300000,350000)	JASDQU010100331.1	325000	1052	0.308703
(1319,2674)(365341,383195)(350000,400000)	JASDQU010100331.1	375000	1357	0.126029
(2675,6132)(402473,409921)(400000,450000)	JASDQU010100331.1	425000	3459	0.196267
(6133,6185)(475772,475825)(450000,500000)	JASDQU010100331.1	475000	54	0.023879
(59,285)(470360,470602)(450000,500000)	JASDQU010100334.1	475000	228	0.104174
(294,1210)(223600,225777)(200000,250000)	JASDQU010100336.1	225000	918	0.272906
(1211,1861)(333988,334638)(300000,350000)	JASDQU010100336.1	325000	652	0.527897
(1862,2343)(441743,442229)(400000,450000)	JASDQU010100336.1	425000	483	0.599406
(2344,2475)(579171,579381)(550000,600000)	JASDQU010100336.1	575000	133	0.586550
(1027,1876)(107616,108495)(100000,150000)	JASDQU010100337.1	125000	851	0.300803
(683,1022)(71102,71554)(50000,100000)	JASDQU010100341.1	75000	341	0.039614
(1023,1504)(304282,317591)(300000,350000)	JASDQU010100341.1	325000	483	0.054991
(1505,1581)(353923,354014)(350000,400000)	JASDQU010100341.1	375000	78	0.117920
(1582,1654)(562242,562331)(550000,600000)	JASDQU010100341.1	575000	74	0.057555
(100,295)(99508,99709)(50000,100000)	JASDQU010100342.1	75000	197	0.037452
(1491,1926)(645457,646104)(600000,650000)	JASDQU010100343.1	625000	437	0.342230
(3547,8942)(200000,214610)(200000,250000)	JASDQU010100345.1	225000	5397	0.668073
(176,1775)(416882,419012)(400000,450000)	JASDQU010100350.1	425000	1601	0.061856
(641,1582)(58046,95124)(50000,100000)	JASDQU010100359.1	75000	943	0.144614
(1583,3711)(209450,219986)(200000,250000)	JASDQU010100359.1	225000	2130	0.076526
(115,255)(103040,103180)(100000,150000)	JASDQU010100362.1	125000	142	0.031183
(256,3139)(159372,163978)(150000,200000)	JASDQU010100362.1	175000	2885	0.232392
(448,731)(356590,356937)(350000,400000)	JASDQU010100367.1	375000	285	0.124783
(732,4265)(407575,415581)(400000,450000)	JASDQU010100367.1	425000	3535	0.121774
(1599,2807)(295545,297694)(250000,300000)	JASDQU010100371.1	275000	1210	0.465190
(773,1561)(151780,152575)(150000,200000)	JASDQU010100375.1	175000	790	0.467984
(1562,1874)(337038,337362)(300000,350000)	JASDQU010100375.1	325000	314	0.056153
(1875,1996)(356172,356302)(350000,400000)	JASDQU010100375.1	375000	123	0.169627
(685,1388)(194016,194751)(150000,200000)	JASDQU010100380.1	175000	705	0.091502
(1389,1733)(251596,253134)(250000,300000)	JASDQU010100380.1	275000	346	0.007292
(1734,3962)(394911,398426)(350000,400000)	JASDQU010100380.1	375000	2230	0.281369
(3963,5844)(401989,403908)(400000,450000)	JASDQU010100380.1	425000	1883	0.062422
(3314,3398)(52073,52171)(50000,100000)	JASDQU010100383.1	75000	86	0.366934
(573,3605)(144337,149047)(100000,150000)	JASDQU010100384.1	125000	3034	0.542958
(3606,3688)(202042,202165)(200000,250000)	JASDQU010100384.1	225000	84	0.031063
(3689,4790)(284021,285484)(250000,300000)	JASDQU010100384.1	275000	1103	0.427858
(4791,4829)(384521,384569)(350000,400000)	JASDQU010100384.1	375000	40	0.084969
(555,1962)(155072,171869)(150000,200000)	JASDQU010100387.1	175000	1409	0.374706
(1963,2280)(210483,210834)(200000,250000)	JASDQU010100387.1	225000	319	0.193548
(1952,2304)(340957,347113)(300000,350000)	JASDQU010100389.1	325000	354	0.071962
(878,1369)(401742,425222)(400000,450000)	JASDQU010100397.1	425000	493	0.054482
(155,818)(482700,494633)(450000,500000)	JASDQU010100398.1	475000	665	0.019342
(819,1787)(611926,613044)(600000,650000)	JASDQU010100398.1	625000	970	0.440268
(586,1751)(194552,195728)(150000,200000)	JASDQU010100409.1	175000	1167	0.561023
(1752,3270)(263297,277657)(250000,300000)	JASDQU010100409.1	275000	1520	0.200779
(1608,2249)(236551,237218)(200000,250000)	JASDQU010100416.1	225000	643	0.189216
(79,98)(535316,535340)(500000,550000)	JASDQU010100418.1	525000	21	0.032393
(99,211)(599777,599895)(550000,600000)	JASDQU010100418.1	575000	114	0.121833
(556,675)(98927,99061)(50000,100000)	JASDQU010100419.1	75000	121	-0.002975
(676,1314)(103524,104163)(100000,150000)	JASDQU010100419.1	125000	640	0.271249
(1315,1947)(301190,301890)(300000,350000)	JASDQU010100419.1	325000	634	0.065314
(1948,2644)(444075,444793)(400000,450000)	JASDQU010100419.1	425000	698	0.538421
(2645,2940)(469001,484601)(450000,500000)	JASDQU010100419.1	475000	297	0.230568
(2941,3001)(657027,672524)(650000,700000)	JASDQU010100419.1	675000	62	0.047804
(186,684)(104005,106831)(100000,150000)	JASDQU010100420.1	125000	500	0.077773
(1216,1260)(246823,246896)(200000,250000)	JASDQU010100425.1	225000	46	0.005255
(352,545)(375981,376177)(350000,400000)	JASDQU010100429.1	375000	195	0.019579
(546,597)(430694,430763)(400000,450000)	JASDQU010100429.1	425000	53	0.035901
(22,348)(343644,348551)(300000,350000)	JASDQU010100431.1	325000	328	0.063537
(349,984)(374652,375354)(350000,400000)	JASDQU010100431.1	375000	637	0.031402
(633,1856)(427041,428307)(400000,450000)	JASDQU010100439.1	425000	1225	0.390982
(1857,1862)(513236,523806)(500000,550000)	JASDQU010100439.1	525000	7	0.063086
(1863,2438)(595332,595907)(550000,600000)	JASDQU010100439.1	575000	577	0.060708
(709,1852)(113818,114988)(100000,150000)	JASDQU010100440.1	125000	1145	0.481234
(1853,2226)(199351,199809)(150000,200000)	JASDQU010100440.1	175000	375	0.211251
(2227,2963)(203974,238456)(200000,250000)	JASDQU010100440.1	225000	738	0.553853
(2964,2976)(256981,257038)(250000,300000)	JASDQU010100440.1	275000	14	0.053797
(2977,3182)(410084,410313)(400000,450000)	JASDQU010100440.1	425000	207	0.210481
(3183,3897)(697720,698492)(650000,700000)	JASDQU010100440.1	675000	716	0.489042
(521,1160)(159882,162701)(150000,200000)	JASDQU010100442.1	175000	641	0.025821
(1161,1572)(350136,350547)(350000,400000)	JASDQU010100442.1	375000	413	0.002372
(1573,3054)(975384,985121)(950000,1000000)	JASDQU010100442.1	975000	1483	0.392291
(3055,3363)(1035392,1035714)(1000000,1050000)	JASDQU010100442.1	1025000	310	0.039711
(2348,4510)(451569,457807)(450000,500000)	JASDQU010100450.1	475000	2164	0.438395
(401,569)(401140,406452)(400000,450000)	JASDQU010100453.1	425000	170	0.074488
(570,951)(568405,568895)(550000,600000)	JASDQU010100453.1	575000	383	0.388017
(952,1056)(719268,719397)(700000,750000)	JASDQU010100453.1	725000	106	0.089586
(1057,1158)(892304,892415)(850000,900000)	JASDQU010100453.1	875000	103	0.051161
(21,526)(346536,347065)(300000,350000)	JASDQU010100455.1	325000	507	0.265769
(1062,1085)(154260,154300)(150000,200000)	JASDQU010100456.1	175000	25	0.260469
(123,1361)(352841,354142)(350000,400000)	JASDQU010100466.1	375000	1240	0.342043
(1362,1629)(405968,408242)(400000,450000)	JASDQU010100466.1	425000	269	0.247746
(1630,1807)(489655,489835)(450000,500000)	JASDQU010100466.1	475000	179	0.398762
(1808,1960)(502338,502519)(500000,550000)	JASDQU010100466.1	525000	154	0.680887
(1295,2353)(463232,464495)(450000,500000)	JASDQU010100467.1	475000	1060	0.348401
(62,533)(253721,280104)(250000,300000)	JASDQU010100468.1	275000	473	0.403339
(2415,2512)(157969,158141)(150000,200000)	JASDQU010100469.1	175000	99	0.197896
(929,1053)(134191,134320)(100000,150000)	JASDQU010100470.1	125000	126	0.033713
(1054,2653)(418502,449999)(400000,450000)	JASDQU010100470.1	425000	1601	0.115060
(2654,3904)(450000,475303)(450000,500000)	JASDQU010100470.1	475000	1252	0.029960
(429,1070)(88155,88874)(50000,100000)	JASDQU010100471.1	75000	643	0.598336
(1071,1873)(117677,118482)(100000,150000)	JASDQU010100471.1	125000	804	0.230339
(1874,2932)(164480,191011)(150000,200000)	JASDQU010100471.1	175000	1060	0.290437
(2933,3174)(235699,236069)(200000,250000)	JASDQU010100471.1	225000	243	0.250027
(1609,2064)(164871,165595)(150000,200000)	JASDQU010100472.1	175000	457	0.019791
(315,1188)(78409,79330)(50000,100000)	JASDQU010100477.1	75000	875	0.379444
(1189,1765)(435763,436346)(400000,450000)	JASDQU010100477.1	425000	578	0.109984
(1766,1908)(551849,551999)(550000,600000)	JASDQU010100477.1	575000	144	0.059638
(1909,2098)(639027,639225)(600000,650000)	JASDQU010100477.1	625000	191	0.059331
(184,905)(233588,234330)(200000,250000)	JASDQU010100484.1	225000	723	0.288945
(1245,1265)(320063,320107)(300000,350000)	JASDQU010100486.1	325000	22	0.118266
(1266,2104)(485922,486776)(450000,500000)	JASDQU010100486.1	475000	840	0.404753
(2105,2108)(589109,589114)(550000,600000)	JASDQU010100486.1	575000	5	0.038028
(316,1673)(359407,362146)(350000,400000)	JASDQU010100487.1	375000	1359	0.589320
(428,468)(160517,160559)(150000,200000)	JASDQU010100489.1	175000	42	0.050489
(469,693)(231146,231418)(200000,250000)	JASDQU010100489.1	225000	226	0.019781
(1578,3327)(62407,64267)(50000,100000)	JASDQU010100492.1	75000	1751	0.357172
(3328,4456)(143792,144923)(100000,150000)	JASDQU010100492.1	125000	1130	0.011890
(4457,5953)(170522,183188)(150000,200000)	JASDQU010100492.1	175000	1498	0.530847
(5954,6052)(416054,416156)(400000,450000)	JASDQU010100492.1	425000	100	0.015710
(68,862)(229132,230489)(200000,250000)	JASDQU010100493.1	225000	796	0.185518
(902,1660)(252838,253602)(250000,300000)	JASDQU010100497.1	275000	760	0.321675
(78,1653)(89958,91638)(50000,100000)	JASDQU010100498.1	75000	1577	0.697337
(398,418)(69883,69911)(50000,100000)	JASDQU010100499.1	75000	22	0.041136
(58,477)(216324,216748)(200000,250000)	JASDQU010100506.1	225000	421	0.041588
(535,762)(73633,74003)(50000,100000)	JASDQU010100509.1	75000	229	0.001400
(763,847)(106334,106418)(100000,150000)	JASDQU010100509.1	125000	86	0.342209
(848,1715)(589507,590559)(550000,600000)	JASDQU010100509.1	575000	869	0.212519
(3720,3726)(174127,174136)(150000,200000)	JASDQU010100513.1	175000	8	0.049709
(71,1665)(325866,327913)(300000,350000)	JASDQU010100516.1	325000	1596	0.209361
(799,1364)(168879,197158)(150000,200000)	JASDQU010100517.1	175000	567	0.124443
(263,317)(700143,700204)(700000,750000)	JASDQU010100519.1	725000	56	0.161659
(318,402)(767838,767932)(750000,800000)	JASDQU010100519.1	775000	86	0.191849
(321,709)(60394,60782)(50000,100000)	JASDQU010100520.1	75000	390	0.673737
(208,996)(154011,154832)(150000,200000)	JASDQU010100521.1	175000	790	0.335743
(997,3153)(404462,448525)(400000,450000)	JASDQU010100521.1	425000	2158	0.416667
(34,200)(77444,77649)(50000,100000)	JASDQU010100529.1	75000	168	0.066572
(201,212)(113614,113683)(100000,150000)	JASDQU010100529.1	125000	13	0.014809
(213,240)(208823,208861)(200000,250000)	JASDQU010100529.1	225000	29	0.131138
(2134,3175)(62691,63801)(50000,100000)	JASDQU010100530.1	75000	1043	0.394670
(3176,3215)(112612,112653)(100000,150000)	JASDQU010100530.1	125000	41	0.021113
(3216,3820)(184855,185462)(150000,200000)	JASDQU010100530.1	175000	606	0.014671
(280,1401)(73265,74585)(50000,100000)	JASDQU010100537.1	75000	1123	0.334461
(1367,1644)(473985,474310)(450000,500000)	JASDQU010100542.1	475000	279	0.017041
(110,790)(665820,666517)(650000,700000)	JASDQU010100544.1	675000	682	0.666714
(791,1293)(708874,710907)(700000,750000)	JASDQU010100544.1	725000	504	0.439039
(1294,1766)(1063620,1064110)(1050000,1100000)	JASDQU010100544.1	1075000	474	0.041197
(41,436)(107123,107530)(100000,150000)	JASDQU010100547.1	125000	397	0.039103
(437,4875)(310624,336076)(300000,350000)	JASDQU010100547.1	325000	4440	0.691394
(4876,5330)(561058,561552)(550000,600000)	JASDQU010100547.1	575000	456	0.296605
(5331,5518)(618099,618299)(600000,650000)	JASDQU010100547.1	625000	189	0.052560
(5519,5666)(699291,699568)(650000,700000)	JASDQU010100547.1	675000	149	0.069919
(4542,4582)(100513,100579)(100000,150000)	JASDQU010100549.1	125000	42	-0.022155
(4583,6827)(306465,308804)(300000,350000)	JASDQU010100549.1	325000	2246	0.595971
(1264,2004)(147330,148453)(100000,150000)	JASDQU010100552.1	125000	742	0.038476
(2005,2439)(214664,215141)(200000,250000)	JASDQU010100552.1	225000	436	0.156537
(144,4998)(100645,129762)(100000,150000)	JASDQU010100554.1	125000	4856	0.351995
(397,428)(264273,264353)(250000,300000)	JASDQU010100559.1	275000	33	0.038887
(7,1780)(166940,171572)(150000,200000)	JASDQU010100560.1	175000	1775	0.357789
